"COCONINO COUNTY
GENERAL ELECTION
NOVEMBER 3, 2020
SUMMARY OF FINAL RESULTS";;TOTAL;FLAGSTAFF 1;FLAGSTAFF 2;FLAGSTAFF 3;FLAGSTAFF 4;FLAGSTAFF 5;FLAGSTAFF 6;FLAGSTAFF 7;FLAGSTAFF 8;FLAGSTAFF 9;FLAGSTAFF 10;FLAGSTAFF 11;FLAGSTAFF 12;FLAGSTAFF 13;FLAGSTAFF 14;FLAGSTAFF 15;FLAGSTAFF 16;FLAGSTAFF 17;FLAGSTAFF 18;FLAGSTAFF 19;FLAGSTAFF 20;FLAGSTAFF 21;FLAGSTAFF 22;FLAGSTAFF 23;FLAGSTAFF 24;FLAGSTAFF 25;FLAGSTAFF 26;BELLEMONT 40;BLUE RIDGE 41;BODAWAY 42;CAMERON 43;COPPERMINE 47;COALMINE 48;DONEY PARK 50;SCHULTZ 51;TIMBERLINE FERNWOOD 52;FOREST LAKES 53;FORT VALLEY EAST 55;FORT VALLEY WEST 56;FREDONIA 58;GRAND CANYON 59;HAVASUPAI 60;INSCRIPTION HOUSE 61;PUMPHOUSE WASH 62;MORMON LAKE 63;KAIBAB NORTH 64;KAIBETO 65;KAIBAB WEST 66;LECHEE 67;LEUPP 69;MOENKOPI 70;NAVAJO MOUNTAIN 71;PAGE CENTRAL 72;PAGE EAST 73;PAGE SOUTH 74;PAGE WEST 75;PARKS 79;PINEWOOD 80;SEDONA NORTH 82;SEDONA SOUTH 83;RANCHES 84;SUNSET CRATER 85;MOUNTAIN VIEW 86;TOLANI LAKE 88;TONALEA 90;WINONA 92;TUBA CITY NORTHEAST 93;TUBA CITY NORTHWEST 94;TUBA CITY SOUTH 95;TUSAYAN 97;WILLIAMS NORTHSIDE 98;WILLIAMS SOUTHSIDE 99
BOARD MEMBER SHERWOOD FOREST ESTATES FIRE DISTRICT;BALLOTS CAST;150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BOARD MEMBER SHERWOOD FOREST ESTATES FIRE DISTRICT;ANDERSON, RODGER;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BOARD MEMBER SHERWOOD FOREST ESTATES FIRE DISTRICT;COOK, PAUL;83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BOARD MEMBER SHERWOOD FOREST ESTATES FIRE DISTRICT;DIEFENDERFER, STEVEN;79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BOARD MEMBER SHERWOOD FOREST ESTATES FIRE DISTRICT;WEIR, WARREN;47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BOARD MEMBER SHERWOOD FOREST ESTATES FIRE DISTRICT;Write-in;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BOARD MEMBER SHERWOOD FOREST ESTATES FIRE DISTRICT;OVER VOTES;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BOARD MEMBER SHERWOOD FOREST ESTATES FIRE DISTRICT;UNDER VOTES;170;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;170;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BOARD MEMBER TUSAYAN FIRE DISTRICT;REGISTERED VOTERS;261;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;261;0;0
BOARD MEMBER TUSAYAN FIRE DISTRICT;BALLOTS CAST;197;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;197;0;0
BOARD MEMBER TUSAYAN FIRE DISTRICT;ALDAZ, ANDREW;96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;96;0;0
BOARD MEMBER TUSAYAN FIRE DISTRICT;BALDOSKY, ROBB;57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57;0;0
BOARD MEMBER TUSAYAN FIRE DISTRICT;HARRIS, BRADY;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66;0;0
BOARD MEMBER TUSAYAN FIRE DISTRICT;VAIL, JOHN;105;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;105;0;0
BOARD MEMBER TUSAYAN FIRE DISTRICT;Write-in;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0
BOARD MEMBER TUSAYAN FIRE DISTRICT;OVER VOTES;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BOARD MEMBER TUSAYAN FIRE DISTRICT;UNDER VOTES;65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65;0;0
MAYOR CITY OF FLAGSTAFF;REGISTERED VOTERS;42409;1813;1441;1105;1626;1874;1995;1618;922;2126;297;1155;1421;572;1668;3189;2034;770;865;1764;868;2189;3051;1740;2936;2063;1307;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MAYOR CITY OF FLAGSTAFF;BALLOTS CAST;35162;1560;1284;949;1499;1723;1749;1318;824;1656;181;857;1053;306;1217;2346;1761;605;681;1571;544;1934;2717;1426;2590;1813;998;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MAYOR CITY OF FLAGSTAFF;DEASY, PAUL;17520;921;766;652;839;859;798;642;459;908;88;435;572;175;614;1179;844;284;277;694;282;920;1238;738;1068;877;391;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MAYOR CITY OF FLAGSTAFF;ODEGAARD, CHARLIE;14504;499;417;226;582;768;773;532;316;539;50;343;327;64;420;965;811;269;349;798;162;861;1269;558;1306;782;518;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MAYOR CITY OF FLAGSTAFF;Write-in;152;7;11;3;6;7;12;4;5;4;1;2;7;1;5;10;5;7;6;4;0;6;13;4;10;8;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MAYOR CITY OF FLAGSTAFF;OVER VOTES;3;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MAYOR CITY OF FLAGSTAFF;UNDER VOTES;2983;132;90;68;72;89;166;140;44;203;42;77;147;66;178;192;101;45;49;75;100;147;197;126;206;146;85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COUNCILMEMBER CITY OF FLAGSTAFF;REGISTERED VOTERS;42409;1813;1441;1105;1626;1874;1995;1618;922;2126;297;1155;1421;572;1668;3189;2034;770;865;1764;868;2189;3051;1740;2936;2063;1307;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COUNCILMEMBER CITY OF FLAGSTAFF;BALLOTS CAST;35162;1560;1284;949;1499;1723;1749;1318;824;1656;181;857;1053;306;1217;2346;1761;605;681;1571;544;1934;2717;1426;2590;1813;998;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COUNCILMEMBER CITY OF FLAGSTAFF;DAGGETT, BECKY;16721;876;715;537;868;898;776;616;454;641;58;352;506;139;484;1039;889;262;280;814;210;939;1335;596;1183;868;386;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COUNCILMEMBER CITY OF FLAGSTAFF;GARCIA, ANTHONY;12903;556;526;343;547;524;637;452;359;640;54;398;438;114;502;1068;679;277;250;553;211;624;865;509;781;564;432;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COUNCILMEMBER CITY OF FLAGSTAFF;MCCARTHY, JIM;12974;561;467;356;603;755;609;476;296;572;48;243;314;84;372;816;727;196;251;572;165;845;1031;453;1067;747;348;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COUNCILMEMBER CITY OF FLAGSTAFF;NOLAN, ERIC;10717;432;412;310;475;513;520;383;273;534;66;284;278;75;367;679;525;180;227;478;167;630;881;430;767;531;300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COUNCILMEMBER CITY OF FLAGSTAFF;SENSEMAN, ERIC;8723;402;320;257;429;582;397;297;265;384;30;203;195;58;294;502;486;143;141;355;108;486;701;389;624;447;228;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COUNCILMEMBER CITY OF FLAGSTAFF;SWEET, MIRANDA;12997;602;550;382;560;636;644;444;315;656;73;323;439;117;469;903;658;220;278;575;191;623;923;519;895;633;369;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COUNCILMEMBER CITY OF FLAGSTAFF;Write-in;373;10;23;7;13;23;40;11;0;15;1;7;4;1;8;19;15;7;15;29;2;25;35;4;22;18;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COUNCILMEMBER CITY OF FLAGSTAFF;OVER VOTES;93;6;6;3;3;9;6;0;0;6;0;0;3;0;3;15;0;0;3;0;0;3;12;3;6;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COUNCILMEMBER CITY OF FLAGSTAFF;UNDER VOTES;29985;1235;833;652;999;1229;1618;1275;510;1520;213;761;982;330;1152;1997;1304;530;598;1337;578;1627;2368;1375;2425;1628;909;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COUNCILMEMBER TOWN OF TUSAYAN;REGISTERED VOTERS;261;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;261;0;0
COUNCILMEMBER TOWN OF TUSAYAN;BALLOTS CAST;196;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;196;0;0
COUNCILMEMBER TOWN OF TUSAYAN;BRUSH, GREG;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90;0;0
COUNCILMEMBER TOWN OF TUSAYAN;COLLET, JOSHUA;47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47;0;0
COUNCILMEMBER TOWN OF TUSAYAN;Write-in;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0
COUNCILMEMBER TOWN OF TUSAYAN;OVER VOTES;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COUNCILMEMBER TOWN OF TUSAYAN;UNDER VOTES;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0;0
COUNCILMEMBER CITY OF WILLIAMS;REGISTERED VOTERS;1945;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1058;887
COUNCILMEMBER CITY OF WILLIAMS;BALLOTS CAST;1619;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;883;736
COUNCILMEMBER CITY OF WILLIAMS;FRITSINGER, CRAIG A.;636;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;363;273
COUNCILMEMBER CITY OF WILLIAMS;TRAPP, DAWN;604;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;331;273
COUNCILMEMBER CITY OF WILLIAMS;Write-in;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;7
COUNCILMEMBER CITY OF WILLIAMS;OVER VOTES;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COUNCILMEMBER CITY OF WILLIAMS;UNDER VOTES;363;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;180;183
PROPOSITION 207;REGISTERED VOTERS;90669;1813;1441;1105;1654;2194;2064;1618;922;2126;297;1155;1421;572;1668;3189;2034;787;865;1871;868;2324;3051;1850;2936;2063;1307;730;690;1093;1051;590;311;2079;89;1863;174;351;742;800;853;152;668;3228;222;21;1465;719;1108;1481;493;135;1114;999;910;1203;1153;1034;900;1560;558;1930;284;435;2003;1881;1187;951;4031;789;2435;1009
PROPOSITION 207;BALLOTS CAST;73726;1560;1284;949;1526;2016;1806;1318;824;1656;181;857;1053;306;1218;2346;1761;619;681;1663;544;2057;2717;1518;2592;1813;998;638;615;762;816;426;214;1826;77;1678;153;321;689;612;669;63;475;2844;184;19;984;582;752;1067;296;99;830;850;635;966;1023;896;801;1432;494;1707;246;319;1432;1585;810;671;2718;606;2130;851
PROPOSITION 207;YES;46424;1201;1034;801;1116;1347;1309;938;612;1296;153;667;910;264;1020;1738;1196;414;489;1107;447;1398;1779;1138;1613;1219;647;399;310;310;381;167;103;960;51;918;76;193;412;276;461;41;162;2040;102;13;415;354;320;424;157;26;495;477;367;584;528;551;541;864;270;1002;131;138;609;917;390;337;1342;379;1098;480
PROPOSITION 207;NO;24728;329;228;129;386;621;459;345;205;326;19;174;119;32;170;555;530;190;181;516;75;626;881;350;923;551;318;225;282;416;392;207;95;807;22;708;72;120;262;304;174;15;266;725;77;6;477;206;380;582;121;55;297;348;238;341;453;321;230;528;210;650;108;159;680;612;357;294;1195;205;940;328
PROPOSITION 207;OVER VOTES;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PROPOSITION 207;UNDER VOTES;2566;30;22;19;24;48;38;35;7;34;9;16;24;10;28;52;35;15;10;39;22;33;56;30;55;43;33;13;23;36;43;52;16;58;4;52;5;8;15;31;34;7;47;79;5;0;92;22;52;61;18;18;38;25;30;41;42;24;30;40;14;55;7;22;143;56;63;40;181;22;92;43
PROPOSITION 208;REGISTERED VOTERS;90669;1813;1441;1105;1654;2194;2064;1618;922;2126;297;1155;1421;572;1668;3189;2034;787;865;1871;868;2324;3051;1850;2936;2063;1307;730;690;1093;1051;590;311;2079;89;1863;174;351;742;800;853;152;668;3228;222;21;1465;719;1108;1481;493;135;1114;999;910;1203;1153;1034;900;1560;558;1930;284;435;2003;1881;1187;951;4031;789;2435;1009
PROPOSITION 208;BALLOTS CAST;73726;1560;1284;949;1526;2016;1806;1318;824;1656;181;857;1053;306;1218;2346;1761;619;681;1663;544;2057;2717;1518;2592;1813;998;638;615;762;816;426;214;1826;77;1678;153;321;689;612;669;63;475;2844;184;19;984;582;752;1067;296;99;830;850;635;966;1023;896;801;1432;494;1707;246;319;1432;1585;810;671;2718;606;2130;851
PROPOSITION 208;YES;43233;1166;1022;753;1108;1303;1168;892;596;1203;135;596;819;236;916;1573;1177;377;416;1014;417;1328;1646;997;1528;1154;557;352;197;400;487;199;141;810;43;750;45;195;358;207;467;42;246;1788;77;7;510;177;400;581;179;44;403;406;339;479;364;395;447;772;213;793;118;174;775;724;491;422;1716;285;749;369
PROPOSITION 208;NO;27608;353;233;169;386;664;588;378;212;399;32;238;184;57;257;709;545;225;248;606;97;680;1011;480;999;618;405;270;394;324;288;173;56;959;28;877;102;116;313;362;166;13;183;970;99;11;386;377;299;425;100;36;384;417;273;440;615;474;315;614;270;849;118;127;519;801;253;209;823;287;1279;441
PROPOSITION 208;OVER VOTES;9;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
PROPOSITION 208;UNDER VOTES;2876;41;29;27;32;49;50;47;15;53;14;23;50;13;45;64;37;17;17;43;30;48;60;41;65;41;36;16;24;38;41;54;17;57;6;51;6;10;18;43;36;8;45;86;8;1;88;28;53;61;16;19;43;27;23;47;44;27;38;46;11;65;10;18;138;60;66;40;179;34;102;41
PROPOSITION 436 CITY OF FLAGSTAFF;REGISTERED VOTERS;42409;1813;1441;1105;1626;1874;1995;1618;922;2126;297;1155;1421;572;1668;3189;2034;770;865;1764;868;2189;3051;1740;2936;2063;1307;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PROPOSITION 436 CITY OF FLAGSTAFF;BALLOTS CAST;35162;1560;1284;949;1499;1723;1749;1318;824;1656;181;857;1053;306;1217;2346;1761;605;681;1571;544;1934;2717;1426;2590;1813;998;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PROPOSITION 436 CITY OF FLAGSTAFF;YES;20435;983;845;613;1041;1150;920;757;569;909;92;461;597;163;661;1305;1078;334;343;868;291;1142;1593;778;1456;1032;454;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PROPOSITION 436 CITY OF FLAGSTAFF;NO;12688;488;367;277;398;501;722;467;227;630;64;349;352;103;445;905;605;245;304;620;193;689;1006;571;989;691;480;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PROPOSITION 436 CITY OF FLAGSTAFF;OVER VOTES;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PROPOSITION 436 CITY OF FLAGSTAFF;UNDER VOTES;2038;89;72;59;59;72;107;94;28;117;25;47;104;40;111;136;78;26;34;83;60;103;118;77;145;90;64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PROPOSITION 437 TOWN OF TUSAYAN;REGISTERED VOTERS;261;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;261;0;0
PROPOSITION 437 TOWN OF TUSAYAN;BALLOTS CAST;196;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;196;0;0
PROPOSITION 437 TOWN OF TUSAYAN;YES;131;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;131;0;0
PROPOSITION 437 TOWN OF TUSAYAN;NO;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54;0;0
PROPOSITION 437 TOWN OF TUSAYAN;OVER VOTES;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
